Sentence,Meaning,Tag
They washed a fresh apple from the market.,과일,CNN
She liked a red apple carefully.,과일,CNN
The farmer bought a red apple for a snack.,과일,CNN
I visited the Apple store in the news.,회사,PNN
She peeled a big apple for dessert.,과일,CNN
Tom wanted a green apple today.,과일,CNN
The tech blogger praised Apple Inc. today.,회사,PNN
The farmer washed a sweet apple from the market.,과일,CNN
The analyst read news about Apple Inc. this week.,회사,PNN
The analyst criticized Apple in California.,회사,PNN
My brother peeled a sour apple yesterday.,과일,CNN
We enjoyed a big apple carefully.,과일,CNN
Yesterday. I ate an apple.,과일,CNN
Alice washed a green apple.,과일,CNN
The farmer peeled a sour apple from the market.,과일,CNN
We bought shares of Apple recently.,회사,PNN
My brother ate a green apple.,과일,CNN
They visited Apple with high expectations.,회사,PNN
The chef washed a delicious apple carefully.,과일,CNN
We cut a juicy apple from the tree.,과일,CNN
Some users visited the Apple store recently.,회사,PNN
The farmer peeled a green apple this morning.,과일,CNN
My friend followed Apple's headquarters with high expectations.,회사,PNN
The farmer wanted a sour apple in the kitchen.,과일,CNN
Many people trusted Apple in California.,회사,PNN
The farmer enjoyed a big apple today.,과일,CNN
Alice washed a big apple for dessert.,과일,CNN
The farmer peeled a sour apple today.,과일,CNN
Some users bought shares of Apple recently.,회사,PNN
The investor resigned from Apple online.,회사,PNN
He enjoyed a fresh apple in the kitchen.,과일,CNN
The chef enjoyed a green apple.,과일,CNN
The farmer wanted a juicy apple this morning.,과일,CNN
We wanted a sweet apple carefully.,과일,CNN
The analyst praised the Apple store in the news.,회사,PNN
They needed a delicious apple carefully.,과일,CNN
The analyst trusted Apple with high expectations.,회사,PNN
We washed a red apple today.,과일,CNN
She worked at Apple Inc. in the news.,회사,PNN
She washed a sour apple this morning.,과일,CNN
The analyst invested in Apple this week.,회사,PNN
My mother needed an apple yesterday.,과일,CNN
The analyst followed Apple's headquarters in California.,회사,PNN
They bought a green apple carefully.,과일,CNN
The farmer cut a sour apple today.,과일,CNN
The farmer washed the apple from the market.,과일,CNN
The analyst praised Apple today.,회사,PNN
Some users resigned from Apple Inc. online.,회사,PNN
They enjoyed a juicy apple for a snack.,과일,CNN
My friend criticized Apple Inc. last year.,회사,PNN
She analyzed Apple Inc. with high expectations.,회사,PNN
I cut the apple from the tree.,과일,CNN
My friend read news about Apple's headquarters online.,회사,PNN
Tom peeled a sweet apple for dessert.,과일,CNN
The tech blogger analyzed the Apple store last year.,회사,PNN
They cut the apple yesterday.,과일,CNN
My friend resigned from Apple for a new project.,회사,PNN
The chef washed the apple.,과일,CNN
The analyst trusted the Apple store online.,회사,PNN
Many people trusted the Apple store in the news.,회사,PNN
The farmer enjoyed a red apple from the market.,과일,CNN
Many people resigned from Apple yesterday.,회사,PNN
The tech blogger worked at Apple for a new project.,회사,PNN
Many people invested in the Apple store this week.,회사,PNN
The chef cut the apple in the kitchen.,과일,CNN
We peeled a big apple carefully.,과일,CNN
Some users visited Apple Inc. today.,회사,PNN
My friend criticized Apple for a new project.,회사,PNN
The investor visited Apple recently.,회사,PNN
He criticized Apple yesterday.,회사,PNN
The tech blogger invested in Apple last year.,회사,PNN
She picked a sweet apple for dessert.,과일,CNN
The analyst analyzed Apple in the news.,회사,PNN
The investor invested in the Apple store last year.,회사,PNN
She visited Apple Inc. recently.,회사,PNN
He liked a green apple this morning.,과일,CNN
The child picked a juicy apple from the tree.,과일,CNN
