sentence,label
"In cases where the apple juice is treated enzymatically, the typical class of enzymes used are pectinases. == Pasteurization == Because apple juice is acidic, typically with a pH of 3.4, it can be pasteurized for less time or at lower temperatures than many other juices.",CNN
"On Guernsey, they have a suet based apple cake called Gâche Melée. === German === Apple is a common fruit in German baking.",CNN
"The production of apple butter was also a popular way of using apples in colonial America, well into the 19th century.",CNN
"The apple fritter has also been documented as early as 1508, in The Boke of Keruynge, in which it is mentioned that they are ""good hot"".",CNN
Each color in this new logo reflects one of Apple's services.,PNN
"The Irish apple cake is different from their English counterparts, in that slices of apple are sandwich within the sponge mixture.",CNN
"Due to a greater use of sugar in the recipe, American apple pies may be sweeter than European versions. == Ingredients == The fruit in an apple pie can be made with many different varieties of apples.",CNN
"In 1879 Mark Twain included baked apple dumplings on a list of American foods ""unmatched by European hotel cuisine"".",CNN
"In March 2022, Apple settled a class-action lawsuit alleging that it had misled users by storing data on non-Apple servers.",PNN
"The Pro Display XDR is a discontinued 32-inch flat panel computer monitor made by Apple, based on an LG supplied display, that was released on December 10, 2019.",PNN
"In October 2023, Apple was reportedly on track to release new generative AI features into its operating systems by 2024, including a significantly redeveloped Siri.",PNN
"At these prices, a user who would intend to pay for each component service contained in the Individual bundle would save roughly $6 monthly by instead paying for Apple One at the Individual tier, while under the same premise, a Family tier subscriber would save $8 per month, and a Premier tier subscriber roughly $25 per month.",PNN
An apple dumpling is a baked or boiled pastry-wrapped apple.,CNN
"Recurring payments with Apple Cash in iOS 17. === Express mode and power reserve === The first form of Express Mode came under the name ""Express Transit"" in iOS 12.3.",PNN
iCloud is a personal cloud service run by Apple.,PNN
"Outside of the United States and Canada, it is commonly referred to as cloudy apple juice to distinguish it from clearer, filtered apple juice and hard cider.",CNN
"In the United States, unfiltered fresh apple juice is made by smaller operations in areas of high apple production, in the form of unclarified apple cider.",CNN
Apple pies are often sold in supermarkets and convenience stores as mini versions in multipacks. === France === France has several types of apple pies.,CNN
"These cards work like a normal IC card, just on the iPhone, and Apple Wallet users can make normal transactions with their IC card using their iPhone, using the FeliCa NFC contactless technology to operate.",PNN
"Louis Hughes, born a black slave in Virginia in 1832, recorded an account of a Fourth of July barbecue for the slaves with roasted pigs and sheep, but apple dumplings and peach cobbler were still the favorites ""relished by all the slaves"".",CNN
"In 2021, The Information reported that Apple was storing 8 million TB of data on Google's cloud, and was on track to spend $300 million that year.",PNN
Vinegar or lemon juice is sometimes mixed in while cooking to provide a small amount of tartness to the usually sweet apple butter.,CNN
This included IC e-cards like Suica to also be added digitally onto Apple Wallet.,PNN
"Apples are also used in other cakes to add moisture and sweetness, often as a partial substitute for refined sugar. == Varieties == === British & Irish === Regions of Great Britain and Ireland have the ideal climate for apple growing, making apple cake a common dessert with many regional varieties throughout.",CNN
"They are a common and popular dessert worldwide, thanks to millennia of apple cultivation in Asia and Europe, and their widespread introduction and propagation throughout the Americas during the Columbian Exchange and colonisation.",CNN
"The Studio Display includes an Apple A13 Bionic system-on-a-chip, which was introduced with the iPhone 11 line, to power audio and webcam processing.",PNN
"Apple juice is one of the most common fruit juices globally, with world production led by China, Poland, the United States, and Germany. == Production == Apples used for apple juice are usually harvested between September and mid-November in the Northern Hemisphere and between February and mid-April in the Southern Hemisphere.",CNN
Apple Intelligence is a collection of artificial intelligence features developed by Apple.,PNN
Apple Intelligence is free for all users with supported devices.,PNN
"In April 2020, Apple Podcasts surpassed one million shows.",PNN
"In 1946 George Orwell was commissioned to write an essay on British Cuisine for an overseas audience, later rejected by the British Council ""amid anxiety about postwar austerity"", and called out boiled apple dumplings as an example of the ""greatest glories of British cookery."" Apple dumplings were Thomas Edison's favorite food.",CNN
Apple controls the integration of its silicon across both its hardware and software products.,PNN
This was a decrease from Apple's 34% market share in 2018.,PNN
"In June 2021, Apple introduced iCloud+, which added Private Relay, Hide My Email and Custom Email Domain to paid users of the services, as well as an unlimited storage limit for video from cameras added through HomeKit Secure Video.",PNN
Tsybulnyky' or tsibulyanyki – Ukrainian onion pancakes or fritters === North America === ==== Canada and the United States ==== The apple fritter is a fried pastry popular within Canada and the United States.,CNN
"The first Apple-designed SoC was the Apple A4, introduced in 2010 with the first-generation iPad and subsequently used in the iPhone 4, fourth-generation iPod Touch, and second-generation Apple TV.",PNN
"Power reserve functionality is not available for any Apple Watch model as of 2026. == Ecosystem == Passes exist in a larger ecosystem, because passes are created as a package.",PNN
"In June 2021, Apple launched the option for podcast creators to implement paid subscriptions through podcast channels. === Market share === Apple Podcasts had an estimated 28 million American monthly listeners and 23.8% market share in March 2021, the first month it fell behind Spotify Podcasts as the top podcasting platform in the United States.",PNN
"Apple strudel is traditionally served in slices, sprinkled with powdered sugar.",CNN
"The production of the butter was a perfect way to preserve part of the fruit production of the monasteries in that region, at a time when almost every village had its own apple-butter producers.",CNN
Additional iCloud storage can be purchased on top of an Apple One subscription.,PNN
"Since iOS 16, Wallet has also included the ability to track package deliveries for Apple Pay purchases from selected retailers, providing order details and shipping estimations as well as notifications for order arrivals or updates.",PNN
"It was first reported in July 2023 that Apple was creating its own internal large language model, codenamed ""Ajax"".",PNN
"The ideal storage temperature for apple juice is between 0 °C (32 °F) and 4 °C (39 °F). == Apple cider == While apple juice generally refers to the filtered, pasteurised product of apple pressing, an unfiltered and sometimes unpasteurized version of the juice is commonly known as ""apple cider"" in the United States and parts of Canada.",CNN
An apple pie is a fruit pie in which the principal filling is apples.,CNN
"A standalone Apple Podcasts app was brought to 2nd and 3rd generation Apple TVs on September 24, 2012, with the Software 6.0 update.",PNN
"Apple juice is juice that has been cooked and filtered to remove solids, and pasteurized so that it will stay fresh longer.",CNN
"The Versunkener Apfelkuchen (sunken apple cake) is an apple cake that has apples halves, usually peeled and hasselbacked, sunk into the sponge cake batter.",CNN
More acidic apples will render a finer purée; the highly acidic Bramley apple creates a very fine purée.,CNN
"Apple strudel dough is a thin, elastic dough, consisting of many thin layers and known as ""Blätterteig,"" the traditional preparation of which is a difficult process.",CNN
"So it's an area we're focused on."" === Staffing === In June 2017, Apple began to take the first major steps to form its new television unit by hiring the co-presidents of Sony Pictures Television, Jamie Erlicht and Zack Van Amburg, to oversee all aspects of worldwide video programming.",PNN
It is the first Apple-branded display since the Apple Thunderbolt Display was discontinued in 2016.,PNN
"In the United States, packaged apple sauce is primarily branded as a children's snack, and is ubiquitous in school cafeterias.",CNN
"Canadian apple pies include mumble crumble, Dutch apple, and an apple maple pie featuring maple syrup. === England === The 14th century recipe collection the Forme of Cury gives a recipe including good apples, good spices, figs, raisins and pears in a cofyn, a casing of pastry.",CNN
"A wide range of apple varieties are used to make apple sauce, depending on the preference for sweetness or tartness.",CNN
American-style apple sauce is not widely available in Britain.,CNN
Users can also share their GPS locations to others with Apple devices and view the location of others who choose to share their location.,PNN
"Apple dumplings can be served hot, cold, or room temperature for breakfast, dessert, or as a main dish. == History == Boiled apple dumplings are among the earliest of fruit puddings.",CNN
"An apple fritter recipe typically includes a batter made from flour, sugar, baking powder, salt, milk, eggs, and a bit of oil.",CNN
"Seeking to capitalize on this, some makers of filtered and clarified juice (including carbonated varieties) label and sell their product as ""apple cider."" Legal distinctions are not universal and elusive to apply. == See also == Juicing List of juices Malic acid == References == == External links == Media related to Apple juice at Wikimedia Commons",CNN
Apple reportedly acquired more AI companies from 2016 to 2020.,PNN
"Early versions of apple fritters appear in Martha Washington's Booke of Cookery, a manuscript dating to the 18th century, which includes various fritter recipes common in colonial American kitchens.",CNN
"Apple juice is then filtered, with the number of solid particles remaining partly defining the difference between apple juice and apple cider.",CNN
Apple juice is a fruit juice made by the maceration and pressing of an apple.,CNN
"In late 2025, after the Apple TV rebrand, Apple also rebranded the Apple One logo, displaying the Apple logo in 6 color slices, resembling its former Apple logo used in the Jobs' era.",PNN
Apple TV has over 45 million paid memberships.,PNN
"In these countries, apple strudel is the most widely known strudel.",CNN
"However, Apple limits some passes if they are the same type or from the same issuer from being used with Express Mode.",PNN
"Sometimes seasoned with cinnamon, clove, and other spices, apple butter is usually spread on bread, used as a side dish, an ingredient in baked goods, or as a condiment.",CNN
"This practice also occurs in the United States and Canada, particularly in regions with dairy farms, such as New England. == Nutrition == A commercially prepared apple pie in the United States is 52% water, 34% carbohydrates, 2% protein, and 11% fat (table).",CNN
"They are used across nearly all Apple devices, including Mac, iPhone, iPad, Apple TV, Apple Watch, AirPods, AirTag, HomePod, and Apple Vision Pro.",PNN
"While some states specify a difference between apple juice and cider, the distinction is not well established across the U.S.",CNN
"Apple butter (Dutch: appelstroop) is a highly concentrated form of apple sauce produced by long, slow cooking of apples with apple juice or water to a point where the sugar in the apples caramelizes, turning the apple butter a deep brown.",CNN
Users can subscribe to iCloud+ for additional storage up to 12 TB (or 14 TB for Apple One Premier plan users who receive an additional 2 TB of storage as part of the plan).,PNN
"In Appalachian cuisine, apple butter was the only type of fruit preserve normally rendered into fruit leather.",CNN
"Apple released the app early on the App Store on June 26, 2012.",PNN
"Different Apple silicon have different hardware, firmware and software security features.",PNN
"To prepare apple dumplings, apples are peeled, cored and sometimes quartered and placed on a portion of dough.",CNN
"Cider cakes originate from the South West and Herefordshire, with various versions incorporating the alcoholic apple based beverage either in the cake batter or steeping the fruit inside the cake.",CNN
"In 1749–1750, when botanist Pehr Kalm traveled from New Jersey to Quebec, he reported having apple dumplings at every meal.",CNN
"Though it was also noted that Apple Podcasts Auto-downloads by default. == Application platforms == === iOS, tvOS, watchOS and visionOS versions === A standalone Apple Podcasts app was announced at the 2012 Worldwide Developers Conference as a feature of iOS 6.",PNN
"It usually keeps its original German name, Apfelstrudel, but - less often - is translated to ""Strudel de Maçã"" (Apple Strudel) or ""Folheado de Maçã"" (Apple Puff). == Pastry == Apple strudel consists of an oblong strudel pastry jacket with an apple filling inside.",CNN
"Apple sauce can be made by baking rather than boiling, in which case the apples are peeled and cored before cooking.",CNN
The Premier tier also includes Apple News+ and Apple Fitness+.,PNN
"Due to the complex and costly equipment required to extract and clarify juice from apples in large volume, apple juice is normally produced commercially.",CNN
"Negotiations fell apart over differing views on how to value the content, lack of transparency on details, and the personality of Apple's chief negotiator, Eddy Cue.",PNN
"In the years after its release, Apple engaged in efforts to ensure its artificial intelligence operations remained covert; according to University of California, Berkeley, professor Trevor Darrell, the company's secrecy deterred graduate students.",PNN
Apple TV initially experienced poor growth and low subscriber numbers relative to other competing services during its first full year in 2020.,PNN
"The mounts are built into the display and are not user interchangeable, but can be reconfigured by an Apple Store or authorized service provider after purchase.",PNN
"Currently, Apple One is priced as $19.95/month for the Individual Plan, $27.95/month for the Family Plan, and $39.95/month for the Premier Plan.",PNN
"The nano-texture version requires a custom ""dry polishing cloth"" included with the display and sold by Apple to clean it.",PNN
"Sauces typically call for sugar or brown sugar and butter boiled with water, sometimes with sliced lemons or spices such as cinnamon added for flavor. == Serving == Apple dumplings are served for breakfast or other meals, as sides, or as dessert.",CNN
The Pennsylvania Dutch often include apple butter as part of their traditional 'seven sweets and seven sours' dinner table array.,CNN
"The second generation Studio Display includes an Apple A19 chip, while the Studio Display XDR has an A19 Pro chip.",PNN
"Apple Secure Enclave (inside of Apple silicon) have different hardware, firmware and software security features.",PNN
"As a result, apple desserts, including cakes, have a huge number of variations.",CNN
"The service launched on November 1, 2019, and it offers a selection of original production film and television series called Apple Originals.",PNN
"Fresh liquid cider is extracted from the whole apple, including the apple core, trimmings from apples, and oddly sized or shaped ""imperfect"" apples, or apple culls.",CNN
"Apple cider should not be confused with the alcoholic beverage known as cider in the rest of the world, which is called ""hard cider"" in the US.",CNN
The subscription groups' premium services are provided by Apple in tiered packages.,PNN
"A recipe for Dorset apple cake was first recorded in the Bridport News on 27 November 1896, and has since been voted as Dorset national dish.",CNN
"However, it is in the traditionally agricultural West Country of England that apple cakes have been raised as culinary symbols of their counties, such as Dorset apple cake, Devonshire apple cake, and Somerset apple cake.",CNN
The Apple Studio Display (marketed as Studio Display) is a line of 27 in (690 mm) flat panel computer monitors developed and sold by Apple Inc.,PNN
A 100 ml reference amount of unsweetened apple juice supplies 46 calories and no significant content of any micronutrients. == Storage == Fresh apple juice requires refrigeration.,CNN
