sentence,label,source_title,source_url,source_license,label_note
"The Send Last Location feature, which utilizes iCloud, can be optionally enabled to automatically send the location of the device to Apple when the battery is low. === iCloud Keychain === iCloud Keychain is a password manager developed by Apple that syncs passwords across devices and suggests secure ones when creating new accounts.",PNN,ICloud,https://en.wikipedia.org/wiki/ICloud,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'ICloud' topic page.
Apple sauce (in American English usually the closed compound applesauce) is a purée (not necessarily served as a true sauce) made of apples.,CNN,Apple sauce,https://en.wikipedia.org/wiki/Apple_sauce,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple sauce' topic page.
"Fresh cider is opaque due to fine apple particles in suspension and generally tangier than commercially cooked and filtered apple juice, but this depends somewhat on the variety of apples used.",CNN,Apple cider,https://en.wikipedia.org/wiki/Apple_cider,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cider' topic page.
"In areas of the American South, the production of apple butter is a family event, due to the large amount of labor necessary to produce apple butter in large quantities.",CNN,Apple butter,https://en.wikipedia.org/wiki/Apple_butter,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple butter' topic page.
"Apple strudel can be accompanied by tea, coffee or even champagne, and is one of the most common treats at Viennese cafés. == See also == == References ==",CNN,Apple strudel,https://en.wikipedia.org/wiki/Apple_strudel,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple strudel' topic page.
"Apple butter may also be used on sandwiches to add an interesting flavor, but is not as commonly used as in historical times.",CNN,Apple butter,https://en.wikipedia.org/wiki/Apple_butter,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple butter' topic page.
Apple strudel is considered to be the national dish of Austria along with Wiener Schnitzel and Tafelspitz.,CNN,Apple strudel,https://en.wikipedia.org/wiki/Apple_strudel,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple strudel' topic page.
This improves manufacturing yield and allows Apple to offer products at different price points without designing separate chips for each tier.,PNN,Apple silicon,https://en.wikipedia.org/wiki/Apple_silicon,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple silicon' topic page.
"On macOS, Apple Intelligence is available only on Apple silicon Mac computers; Intel-based Mac computers are not supported.",PNN,Apple Intelligence,https://en.wikipedia.org/wiki/Apple_Intelligence,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Intelligence' topic page.
Siri's investments in artificial intelligence was criticized both by reviewers and internally at Apple for lagging behind other AI assistants.,PNN,Apple Intelligence,https://en.wikipedia.org/wiki/Apple_Intelligence,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Intelligence' topic page.
"It was announced at the Apple Worldwide Developers Conference on June 3, 2019, along with the 2019 Mac Pro.",PNN,Pro Display XDR,https://en.wikipedia.org/wiki/Pro_Display_XDR,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Pro Display XDR' topic page.
"Apple silicon is a series of system on a chip (SoC) and system in a package (SiP) designs by Apple Inc., primarily using the ARM architecture, along with a range of more specialized chips for other devices and wireless connectivity functions.",PNN,Apple silicon,https://en.wikipedia.org/wiki/Apple_silicon,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple silicon' topic page.
Vacuum sealing and additional filtering extend the shelf life of apple juice.,CNN,Apple cider,https://en.wikipedia.org/wiki/Apple_cider,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cider' topic page.
"In 2016, Apple released the iPhone 7, along with Apple Pay support in Japan.",PNN,Apple Wallet,https://en.wikipedia.org/wiki/Apple_Wallet,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Wallet' topic page.
"In either form, apple cider is seasonally produced in autumn.",CNN,Apple cider,https://en.wikipedia.org/wiki/Apple_cider,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cider' topic page.
"In Yorkshire, Wilfa apple cake is served on St Wilfa's day, and although called a cake, it is made with shortcrust pastry topped with Wensleydale cheese.",CNN,Apple pie,https://en.wikipedia.org/wiki/Apple_pie,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple pie' topic page.
"In cases where the apple juice is treated enzymatically, the typical class of enzymes used are pectinases. == Pasteurization == Because apple juice is acidic, typically with a pH of 3.4, it can be pasteurized for less time or at lower temperatures than many other juices.",CNN,Apple juice,https://en.wikipedia.org/wiki/Apple_juice,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple juice' topic page.
"On Guernsey, they have a suet based apple cake called Gâche Melée. === German === Apple is a common fruit in German baking.",CNN,Apple cake,https://en.wikipedia.org/wiki/Apple_cake,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cake' topic page.
"The production of apple butter was also a popular way of using apples in colonial America, well into the 19th century.",CNN,Apple butter,https://en.wikipedia.org/wiki/Apple_butter,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple butter' topic page.
"The apple fritter has also been documented as early as 1508, in The Boke of Keruynge, in which it is mentioned that they are ""good hot"".",CNN,Fritter,https://en.wikipedia.org/wiki/Fritter,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Fritter' topic page.
Each color in this new logo reflects one of Apple's services.,PNN,Apple One,https://en.wikipedia.org/wiki/Apple_One,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple One' topic page.
"The Irish apple cake is different from their English counterparts, in that slices of apple are sandwich within the sponge mixture.",CNN,Apple cake,https://en.wikipedia.org/wiki/Apple_cake,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cake' topic page.
"Due to a greater use of sugar in the recipe, American apple pies may be sweeter than European versions. == Ingredients == The fruit in an apple pie can be made with many different varieties of apples.",CNN,Apple pie,https://en.wikipedia.org/wiki/Apple_pie,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple pie' topic page.
"In 1879 Mark Twain included baked apple dumplings on a list of American foods ""unmatched by European hotel cuisine"".",CNN,Apple dumpling,https://en.wikipedia.org/wiki/Apple_dumpling,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple dumpling' topic page.
"In March 2022, Apple settled a class-action lawsuit alleging that it had misled users by storing data on non-Apple servers.",PNN,ICloud,https://en.wikipedia.org/wiki/ICloud,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'ICloud' topic page.
"The Pro Display XDR is a discontinued 32-inch flat panel computer monitor made by Apple, based on an LG supplied display, that was released on December 10, 2019.",PNN,Pro Display XDR,https://en.wikipedia.org/wiki/Pro_Display_XDR,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Pro Display XDR' topic page.
"In October 2023, Apple was reportedly on track to release new generative AI features into its operating systems by 2024, including a significantly redeveloped Siri.",PNN,Apple Intelligence,https://en.wikipedia.org/wiki/Apple_Intelligence,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Intelligence' topic page.
"At these prices, a user who would intend to pay for each component service contained in the Individual bundle would save roughly $6 monthly by instead paying for Apple One at the Individual tier, while under the same premise, a Family tier subscriber would save $8 per month, and a Premier tier subscriber roughly $25 per month.",PNN,Apple One,https://en.wikipedia.org/wiki/Apple_One,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple One' topic page.
An apple dumpling is a baked or boiled pastry-wrapped apple.,CNN,Apple dumpling,https://en.wikipedia.org/wiki/Apple_dumpling,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple dumpling' topic page.
"Recurring payments with Apple Cash in iOS 17. === Express mode and power reserve === The first form of Express Mode came under the name ""Express Transit"" in iOS 12.3.",PNN,Apple Wallet,https://en.wikipedia.org/wiki/Apple_Wallet,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Wallet' topic page.
iCloud is a personal cloud service run by Apple.,PNN,ICloud,https://en.wikipedia.org/wiki/ICloud,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'ICloud' topic page.
"Outside of the United States and Canada, it is commonly referred to as cloudy apple juice to distinguish it from clearer, filtered apple juice and hard cider.",CNN,Apple cider,https://en.wikipedia.org/wiki/Apple_cider,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cider' topic page.
"In the United States, unfiltered fresh apple juice is made by smaller operations in areas of high apple production, in the form of unclarified apple cider.",CNN,Apple juice,https://en.wikipedia.org/wiki/Apple_juice,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple juice' topic page.
Apple pies are often sold in supermarkets and convenience stores as mini versions in multipacks. === France === France has several types of apple pies.,CNN,Apple pie,https://en.wikipedia.org/wiki/Apple_pie,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple pie' topic page.
"These cards work like a normal IC card, just on the iPhone, and Apple Wallet users can make normal transactions with their IC card using their iPhone, using the FeliCa NFC contactless technology to operate.",PNN,Apple Wallet,https://en.wikipedia.org/wiki/Apple_Wallet,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Wallet' topic page.
"Louis Hughes, born a black slave in Virginia in 1832, recorded an account of a Fourth of July barbecue for the slaves with roasted pigs and sheep, but apple dumplings and peach cobbler were still the favorites ""relished by all the slaves"".",CNN,Apple dumpling,https://en.wikipedia.org/wiki/Apple_dumpling,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple dumpling' topic page.
"In 2021, The Information reported that Apple was storing 8 million TB of data on Google's cloud, and was on track to spend $300 million that year.",PNN,ICloud,https://en.wikipedia.org/wiki/ICloud,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'ICloud' topic page.
Vinegar or lemon juice is sometimes mixed in while cooking to provide a small amount of tartness to the usually sweet apple butter.,CNN,Apple butter,https://en.wikipedia.org/wiki/Apple_butter,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple butter' topic page.
This included IC e-cards like Suica to also be added digitally onto Apple Wallet.,PNN,Apple Wallet,https://en.wikipedia.org/wiki/Apple_Wallet,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Wallet' topic page.
"Apples are also used in other cakes to add moisture and sweetness, often as a partial substitute for refined sugar. == Varieties == === British & Irish === Regions of Great Britain and Ireland have the ideal climate for apple growing, making apple cake a common dessert with many regional varieties throughout.",CNN,Apple cake,https://en.wikipedia.org/wiki/Apple_cake,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cake' topic page.
"They are a common and popular dessert worldwide, thanks to millennia of apple cultivation in Asia and Europe, and their widespread introduction and propagation throughout the Americas during the Columbian Exchange and colonisation.",CNN,Apple cake,https://en.wikipedia.org/wiki/Apple_cake,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cake' topic page.
"The Studio Display includes an Apple A13 Bionic system-on-a-chip, which was introduced with the iPhone 11 line, to power audio and webcam processing.",PNN,Apple Studio Display,https://en.wikipedia.org/wiki/Apple_Studio_Display,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Studio Display' topic page.
"Apple juice is one of the most common fruit juices globally, with world production led by China, Poland, the United States, and Germany. == Production == Apples used for apple juice are usually harvested between September and mid-November in the Northern Hemisphere and between February and mid-April in the Southern Hemisphere.",CNN,Apple juice,https://en.wikipedia.org/wiki/Apple_juice,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple juice' topic page.
Apple Intelligence is a collection of artificial intelligence features developed by Apple.,PNN,Apple Intelligence,https://en.wikipedia.org/wiki/Apple_Intelligence,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Intelligence' topic page.
Apple Intelligence is free for all users with supported devices.,PNN,Apple Intelligence,https://en.wikipedia.org/wiki/Apple_Intelligence,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Intelligence' topic page.
"In April 2020, Apple Podcasts surpassed one million shows.",PNN,Apple Podcasts,https://en.wikipedia.org/wiki/Apple_Podcasts,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Podcasts' topic page.
"In 1946 George Orwell was commissioned to write an essay on British Cuisine for an overseas audience, later rejected by the British Council ""amid anxiety about postwar austerity"", and called out boiled apple dumplings as an example of the ""greatest glories of British cookery."" Apple dumplings were Thomas Edison's favorite food.",CNN,Apple dumpling,https://en.wikipedia.org/wiki/Apple_dumpling,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple dumpling' topic page.
Apple controls the integration of its silicon across both its hardware and software products.,PNN,Apple silicon,https://en.wikipedia.org/wiki/Apple_silicon,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple silicon' topic page.
This was a decrease from Apple's 34% market share in 2018.,PNN,Apple Podcasts,https://en.wikipedia.org/wiki/Apple_Podcasts,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Podcasts' topic page.
"In June 2021, Apple introduced iCloud+, which added Private Relay, Hide My Email and Custom Email Domain to paid users of the services, as well as an unlimited storage limit for video from cameras added through HomeKit Secure Video.",PNN,ICloud,https://en.wikipedia.org/wiki/ICloud,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'ICloud' topic page.
Tsybulnyky' or tsibulyanyki – Ukrainian onion pancakes or fritters === North America === ==== Canada and the United States ==== The apple fritter is a fried pastry popular within Canada and the United States.,CNN,Fritter,https://en.wikipedia.org/wiki/Fritter,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Fritter' topic page.
"The first Apple-designed SoC was the Apple A4, introduced in 2010 with the first-generation iPad and subsequently used in the iPhone 4, fourth-generation iPod Touch, and second-generation Apple TV.",PNN,Apple silicon,https://en.wikipedia.org/wiki/Apple_silicon,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple silicon' topic page.
"Power reserve functionality is not available for any Apple Watch model as of 2026. == Ecosystem == Passes exist in a larger ecosystem, because passes are created as a package.",PNN,Apple Wallet,https://en.wikipedia.org/wiki/Apple_Wallet,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Wallet' topic page.
"In June 2021, Apple launched the option for podcast creators to implement paid subscriptions through podcast channels. === Market share === Apple Podcasts had an estimated 28 million American monthly listeners and 23.8% market share in March 2021, the first month it fell behind Spotify Podcasts as the top podcasting platform in the United States.",PNN,Apple Podcasts,https://en.wikipedia.org/wiki/Apple_Podcasts,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Podcasts' topic page.
"Apple strudel is traditionally served in slices, sprinkled with powdered sugar.",CNN,Apple strudel,https://en.wikipedia.org/wiki/Apple_strudel,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple strudel' topic page.
"The production of the butter was a perfect way to preserve part of the fruit production of the monasteries in that region, at a time when almost every village had its own apple-butter producers.",CNN,Apple butter,https://en.wikipedia.org/wiki/Apple_butter,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple butter' topic page.
Additional iCloud storage can be purchased on top of an Apple One subscription.,PNN,Apple One,https://en.wikipedia.org/wiki/Apple_One,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple One' topic page.
"Since iOS 16, Wallet has also included the ability to track package deliveries for Apple Pay purchases from selected retailers, providing order details and shipping estimations as well as notifications for order arrivals or updates.",PNN,Apple Wallet,https://en.wikipedia.org/wiki/Apple_Wallet,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Wallet' topic page.
"It was first reported in July 2023 that Apple was creating its own internal large language model, codenamed ""Ajax"".",PNN,Apple Intelligence,https://en.wikipedia.org/wiki/Apple_Intelligence,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Intelligence' topic page.
"The ideal storage temperature for apple juice is between 0 °C (32 °F) and 4 °C (39 °F). == Apple cider == While apple juice generally refers to the filtered, pasteurised product of apple pressing, an unfiltered and sometimes unpasteurized version of the juice is commonly known as ""apple cider"" in the United States and parts of Canada.",CNN,Apple juice,https://en.wikipedia.org/wiki/Apple_juice,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple juice' topic page.
An apple pie is a fruit pie in which the principal filling is apples.,CNN,Apple pie,https://en.wikipedia.org/wiki/Apple_pie,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple pie' topic page.
"A standalone Apple Podcasts app was brought to 2nd and 3rd generation Apple TVs on September 24, 2012, with the Software 6.0 update.",PNN,Apple Podcasts,https://en.wikipedia.org/wiki/Apple_Podcasts,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Podcasts' topic page.
"Apple juice is juice that has been cooked and filtered to remove solids, and pasteurized so that it will stay fresh longer.",CNN,Apple cider,https://en.wikipedia.org/wiki/Apple_cider,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cider' topic page.
